n.fname,n.pagerank_weighted
"""Brian""",1.5389936924863137
"""Spencer""",1.5147991281720412
"""Kendall""",1.2863200776163428
"""Sam""",0.8421406099983676
"""Kimball""",0.7951766910480362
"""Lee Ann""",0.7178061008079835
"""Elisabeth""",0.6440071009442537
"""Deepa""",0.3506803502505277
